CO_IES|NO_IES|CO_CATEGORIA_ADMINISTRATIVA|DS_CATEGORIA_ADMINISTRATIVA|CO_ORGANIZACAO_ACADEMICA|DS_ORGANIZACAO_ACADEMICA|CO_LOCAL_OFERTA_CURSO|CO_MUNICIPIO_CURSO|NO_MUNICIPIO_CURSO|CO_UF_CURSO|SGL_UF_CURSO|NO_REGIAO_CURSO|IN_CAPITAL_CURSO|CO_CURSO|NO_CURSO|CO_SITUACAO_CURSO|DS_SITUACAO_CURSO|CO_OCDE|NO_OCDE|CO_OCDE_AREA_GERAL|NO_OCDE_AREA_GERAL|CO_OCDE_AREA_ESPECIFICA|NO_OCDE_AREA_ESPECIFICA|CO_OCDE_AREA_DETALHADA|NO_OCDE_AREA_DETALHADA|CO_GRAU_ACADEMICO|DS_GRAU_ACADEMICO|CO_MODALIDADE_ENSINO|DS_MODALIDADE_ENSINO|CO_NIVEL_ACADEMICO|DS_NIVEL_ACADEMICO|IN_GRATUITO|TP_ATRIBUTO_INGRESSO|NU_CARGA_HORARIA|DT_INICIO_FUNCIONAMENTO|DT_AUTORIZACAO_CURSO|IN_AJUDA_DEFICIENTE|IN_MATERIAL_DIGITAL|IN_MATERIAL_AMPLIADO|IN_MATERIAL_TATIL|IN_MATERIAL_IMPRESSO|IN_MATERIAL_AUDIO|IN_MATERIAL_BRAILLE|IN_MATERIAL_LIBRAS|IN_DISCIPLINA_LIBRAS|IN_TRADUTOR_LIBRAS|IN_GUIA_INTERPRETE|IN_RECURSOS_COMUNICACAO|IN_RECURSOS_INFORMATICA|IN_INTEGRAL_CURSO|IN_MATUTINO_CURSO|IN_VESPERTINO_CURSO|IN_NOTURNO_CURSO|NU_INTEGRALIZACAO_INTEGRAL|NU_INTEGRALIZACAO_MATUTINO|NU_INTEGRALIZACAO_VESPERTINO|NU_INTEGRALIZACAO_NOTURNO|NU_INTEGRALIZACAO_EAD|IN_OFERECE_DISC_SEMI_PRES|NU_PERC_CAR_HOR_SEMI_PRES|IN_POSSUI_LABORATORIO|QT_INSC_VAGAS_NOVAS_INT|QT_INSC_VAGAS_NOVAS_MAT|QT_INSC_VAGAS_NOVAS_VESP|QT_INSC_VAGAS_NOVAS_NOT|QT_INSC_VAGAS_NOVAS_EAD|QT_INSC_VAGAS_REMAN_INT|QT_INSC_VAGAS_REMAN_MAT|QT_INSC_VAGAS_REMAN_VESP|QT_INSC_VAGAS_REMAN_NOT|QT_INSC_VAGAS_REMAN_EAD|QT_INSC_VAGAS_PROG_ESP_INT|QT_INSC_VAGAS_PROG_ESP_MAT|QT_INSC_VAGAS_PROG_ESP_VESP|QT_INSC_VAGAS_PROG_ESP_NOT|QT_INSC_VAGAS_PROG_ESP_EAD|QT_VAGAS_NOVAS_INTEGRAL|QT_VAGAS_NOVAS_MATUTINO|QT_VAGAS_NOVAS_VESPERTINO|QT_VAGAS_NOVAS_NOTURNO|QT_VAGAS_NOVAS_EAD|QT_VAGAS_REMANESC_INTEGRAL|QT_VAGAS_REMANESC_MATUTINO|QT_VAGAS_REMANESC_VESPERTINO|QT_VAGAS_REMANESC_NOTURNO|QT_VAGAS_REMANESC_EAD|QT_VAGAS_PROG_ESP_INTEGRAL|QT_VAGAS_PROG_ESP_MATUTINO|QT_VAGAS_PROG_ESP_VESPERTINO|QT_VAGAS_PROG_ESP_NOTURNO|QT_VAGAS_PROG_ESP_EAD|QT_MATRICULA_CURSO|QT_CONCLUINTE_CURSO|QT_INGRESSO_CURSO|QT_INGRESSO_VAGAS_NOVAS|ANO
19512|INSTITUTO MASTER DE ENSINO PRESIDENTE ANTONIO CARLOS|4|Privada com fins lucrativos|3|Faculdade|1069631|3103504|Araguari|31|MG|Sudeste|0|105068|EDUCACAO FISICA|1|Em atividade|720E01|Educacao fisica|7|Saude e bem estar social|72|Saude|720|Saude (cursos gerais)|1|Bacharelado|1|Presencial|1|Graduacao|0|0|3200|05/02/2007||1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1||||4.00||0||1||||121|||||12|||||0|||||120|||||12|||||0||152|19|85|73|2015
19512|INSTITUTO MASTER DE ENSINO PRESIDENTE ANTONIO CARLOS|4|Privada com fins lucrativos|3|Faculdade|1069631|3103504|Araguari|31|MG|Sudeste|0|110436|FARMACIA|1|Em atividade|727F01|Farmacia|7|Saude e bem estar social|72|Saude|727|Farmacia|1|Bacharelado|1|Presencial|1|Graduacao|0|0|4000|07/02/2008||1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1||||4.50||0||1||||42|||||5|||||0|||||60|||||5|||||0||93|16|36|32|2015
19512|INSTITUTO MASTER DE ENSINO PRESIDENTE ANTONIO CARLOS|4|Privada com fins lucrativos|3|Faculdade|1069631|3103504|Araguari|31|MG|Sudeste|0|113821|PEDAGOGIA|1|Em atividade|142P01|Pedagogia|1|Educacao|14|Formacao de professor e ciencias da educacao|142|Ciencias da educacao|2|Licenciatura|1|Presencial|1|Graduacao|0|0|3200|02/08/2002||1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1||||4.00||0||1||||132|||||5|||||0|||||120|||||5|||||0||197|57|68|64|2015
19512|INSTITUTO MASTER DE ENSINO PRESIDENTE ANTONIO CARLOS|4|Privada com fins lucrativos|3|Faculdade|1069631|3103504|Araguari|31|MG|Sudeste|0|1179742|ENGENHARIA DE PRODUCAO|1|Em atividade|520E05|Engenharia de producao|5|Engenharia, producao e construcao|52|Engenharia e profissoes correlatas|520|Engenharia e profissoes de engenharia (cursos gerais)|1|Bacharelado|1|Presencial|1|Graduacao|0|0|3800|25/08/2014||1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1||||5.00||0||1||||164|||||10|||||0|||||120|||||10|||||0||48||89|80|2015
19512|INSTITUTO MASTER DE ENSINO PRESIDENTE ANTONIO CARLOS|4|Privada com fins lucrativos|3|Faculdade|1069631|3103504|Araguari|31|MG|Sudeste|0|1284733|MEDICINA VETERINARIA|1|Em atividade|641M01|Medicina veterinaria|6|Agricultura e veterinaria|64|Veterinaria|641|Veterinaria|1|Bacharelado|1|Presencial|1|Graduacao|0|0|4200|30/10/2014||1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1||||5.00||0||1||||220|||||5|||||0|||||120|||||5|||||0||80||118|118|2015
19578|Faculdade de Tecnologia de Cotia|2|Publica Estadual|3|Faculdade|1069845|3513009|Cotia|35|SP|Sudeste|0|1327560|GESTAO EMPRESARIAL|1|Em atividade|345G06|Gestao de empresas|3|Ciencias sociais, negocios e direito|34|Comercio e administracao|345|Gerenciamento e administracao|3|Tecnologico|1|Presencial|1|Graduacao|1|0|2400|03/02/2014||0|||||||||||||0|1|0|1||3.00||3.00||0||1||162||486|||0||0|||0||0|||80||80|||0||0|||0||0||272||145|145|2015
19578|Faculdade de Tecnologia de Cotia|2|Publica Estadual|3|Faculdade|1069845|3513009|Cotia|35|SP|Sudeste|0|5001279|GESTAO DA PRODUCAO INDUSTRIAL|1|Em atividade|520P02|Producao industrial|5|Engenharia, producao e construcao|52|Engenharia e profissoes correlatas|520|Engenharia e profissoes de engenharia (cursos gerais)|3|Tecnologico|1|Presencial|1|Graduacao|1|0|2400|03/02/2014||0|||||||||||||0|1|0|1||3.00||3.00||0||1||119||347|||0||0|||0||0|||80||80|||0||0|||0||0||232||169|169|2015
19588|Faculdade de Educacao Tecnologica do Estado do Rio de Janeiro|2|Publica Estadual|3|Faculdade|1069904|3301702|Duque de Caxias|33|RJ|Sudeste|0|5001246|PROCESSOS GERENCIAIS|1|Em atividade|345E01|Empreendedorismo|3|Ciencias sociais, negocios e direito|34|Comercio e administracao|345|Gerenciamento e administracao|3|Tecnologico|1|Presencial|1|Graduacao|1|0|2960|08/02/2012||1|1|1|0|1|0|0|0|0|0|0|0|1|0|1|0|1||3.00||3.00||0||1||40||40|||40||0|||0||0|||40||40|||40||0|||0||0||142||80|80|2015
19739|Faculdade de Tecnologia de Campinas|2|Publica Estadual|3|Faculdade|1072367|3509502|Campinas|35|SP|Sudeste|0|1321320|PROCESSOS QUIMICOS|1|Em atividade|524T03|Tecnologia quimica|5|Engenharia, producao e construcao|52|Engenharia e profissoes correlatas|524|Quimica e engenharia de processos|3|Tecnologico|1|Presencial|1|Graduacao|1|0|2800|21/07/2014||0|||||||||||||0|0|0|1||||3.00||0||1||||450|||||0|||||0|||||80|||||4|||||0||92||69|69|2015
19739|Faculdade de Tecnologia de Campinas|2|Publica Estadual|3|Faculdade|1072367|3509502|Campinas|35|SP|Sudeste|0|1321347|GESTAO DA TECNOLOGIA DA INFORMACAO|1|Em atividade|345G03|Gestao da informacao|3|Ciencias sociais, negocios e direito|34|Comercio e administracao|345|Gerenciamento e administracao|3|Tecnologico|1|Presencial|1|Graduacao|1|0|2800|04/02/2015||0|||||||||||||0|0|0|1||||3.00||0||1||||514|||||2|||||0|||||80|||||4|||||0||73||75|74|2015
